FREQ,REF_AREA,Territorio,DATA_TYPE,Indicatore,CATEG_OF_BENEFICIARIES,Area di utenza,CATEGORY_OF_SERVICE,Servizio o intervento,TIME_PERIOD,Osservazione
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2021,17058
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2021,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2021,7409
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2021,257132
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2021,5000
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2021,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,7003947
A,T03054,Distretto di Carate Brianza,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,279
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2023,7833797
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2023,505247
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2023,227076
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2023,11388514
