codice_comune,comune_key,comune_fonte,anno,pop_totale,pop_15_29,m0602_corrente_impegni,m0602_capitale_impegni,spesa_corrente_totale_impegni,eur_m0602_per_abitante,eur_m0602_per_giovane_15_29,pct_spesa_corrente_m0602,m0602_zero,dato_bilancio_mancante
015182,rho,COMUNE DI RHO,2024,50848,7310,261328.25,0.0,47317645.37,5.139400763058528,35.74941860465116,0.5522849836599975,False,False
015183,robecchetto con induno,COMUNE DI ROBECCHETTO CON INDUNO,2024,4781,729,0.0,0.0,4039050.82,0.0,0.0,0.0,True,False
015184,robecco sul naviglio,COMUNE DI ROBECCO SUL NAVIGLIO,2024,6810,991,0.0,0.0,4916172.2,0.0,0.0,0.0,True,False
015185,rodano,COMUNE DI RODANO,2024,4646,704,0.0,0.0,3375838.14,0.0,0.0,0.0,True,False
015188,rosate,COMUNE DI ROSATE,2024,5704,854,51078.21,0.0,4238788.01,8.954805399719495,59.81055035128806,1.2050192149146897,False,False
015189,rozzano,COMUNE DI ROZZANO,2024,41336,6676,21434.72,0.0,47053420.12,0.5185484807431779,3.2107130017974836,0.04555401062310707,False,False
015191,san colombano al lambro,COMUNE DI SAN COLOMBANO AL LAMBRO,2024,7344,1046,0.0,0.0,5205843.02,0.0,0.0,0.0,True,False
015192,san donato milanese,COMUNE DI SAN DONATO MILANESE,2024,32221,5232,267989.16,0.0,31193543.69,8.31722044629279,51.22116972477064,0.8591173951355571,False,False
015194,san giorgio su legnano,COMUNE DI SAN GIORGIO SU LEGNANO,2024,6732,1023,1443.89,0.0,4547689.06,0.21448158051099228,1.4114271749755622,0.031749971929699174,False,False
015195,san giuliano milanese,COMUNE DI SAN GIULIANO MILANESE,2024,39690,6243,312542.09,0.0,29352903.94,7.874580246913581,50.06280474131027,1.0647740020505787,False,False
015200,santo stefano ticino,COMUNE DI SANTO STEFANO TICINO,2024,5011,679,0.0,0.0,3743097.69,0.0,0.0,0.0,True,False
015201,san vittore olona,COMUNE DI SAN VITTORE OLONA,2024,8321,1254,0.0,0.0,5673785.22,0.0,0.0,0.0,True,False
015202,san zenone al lambro,COMUNE DI SAN ZENONE AL LAMBRO,2024,4444,731,0.0,0.0,3323347.93,0.0,0.0,0.0,True,False
015204,sedriano,COMUNE DI SEDRIANO,2024,12820,2028,0.0,0.0,8415070.83,0.0,0.0,0.0,True,False
015205,segrate,COMUNE DI SEGRATE,2024,37051,5594,21017.21,0.0,34391007.230000004,0.5672508164422012,3.7570986771540937,0.06111251659319312,False,False
015206,senago,COMUNE DI SENAGO,2024,21471,3393,6839.62,0.0,14602168.12,0.31855153462810304,2.015803124078986,0.0468397565607538,False,False
015209,sesto san giovanni,COMUNE DI SESTO SAN GIOVANNI,2024,78495,11304,45092.4,1500.0,81785191.64,0.5744620676476209,3.9890658174097666,0.05513516456437076,False,False
015210,settala,COMUNE DI SETTALA,2024,7403,1293,25951.79,0.0,6201234.22,3.5055774685938133,20.070989945862337,0.41849394941899165,False,False
015211,settimo milanese,COMUNE DI SETTIMO MILANESE,2024,19901,3045,50275.0,0.0,14348886.12,2.526254962062208,16.510673234811165,0.3503756290178154,False,False
015213,solaro,COMUNE DI SOLARO,2024,14071,2197,1627.0,0.0,9234347.78,0.11562788714377088,0.7405553026854802,0.017619002865841817,False,False
015219,trezzano rosa,COMUNE DI TREZZANO ROSA,2024,5383,876,0.0,0.0,3386358.97,0.0,0.0,0.0,True,False
015220,trezzano sul naviglio,COMUNE DI TREZZANO SUL NAVIGLIO,2024,21585,3249,53071.09,0.0,21786937.220000003,2.4587023395876764,16.33459218220991,0.24359132935528782,False,False
015221,trezzo sull adda,COMUNE DI TREZZO SULL'ADDA,2024,12107,1802,19898.86,0.0,11272174.9,1.643583051127447,11.042652608213096,0.17653079531262417,False,False
015222,tribiano,COMUNE DI TRIBIANO,2024,3778,603,0.0,0.0,2871219.6,0.0,0.0,0.0,True,False
015224,truccazzano,COMUNE DI TRUCCAZZANO,2024,5830,918,9284.31,0.0,5112044.08,1.5925060034305316,10.113627450980392,0.18161639169590257,False,False
015226,turbigo,COMUNE DI TURBIGO,2024,7138,1102,0.0,0.0,8107358.38,0.0,0.0,0.0,True,False
015229,vanzago,COMUNE DI VANZAGO,2024,9364,1461,1525.0,0.0,6005294.54,0.1628577530969671,1.0438056125941135,0.025394258180715314,False,False
015230,vaprio d adda,COMUNE DI VAPRIO D'ADDA,2024,9581,1416,25620.3,0.0,5567489.04,2.674073687506523,18.09343220338983,0.4601769274430399,False,False
015236,vernate,COMUNE DI VERNATE,2024,3413,503,0.0,0.0,2529469.49,0.0,0.0,0.0,True,False
015237,vignate,COMUNE DI VIGNATE,2024,9240,1375,0.0,0.0,6995378.46,0.0,0.0,0.0,True,False
015242,vimodrone,COMUNE DI VIMODRONE,2024,16793,2400,36631.2,0.0,15978784.55,2.1813374620377535,15.262999999999998,0.22924897626208995,False,False
015243,vittuone,COMUNE DI VITTUONE,2024,9244,1443,2302.0,0.0,5427697.64,0.24902639549978364,1.5952875952875953,0.042412089852521706,False,False
015244,vizzolo predabissi,COMUNE DI VIZZOLO PREDABISSI,2024,3860,552,3023.34,0.0,3312454.33,0.7832487046632125,5.477065217391305,0.09127189989061676,False,False
015247,zibido san giacomo,COMUNE DI ZIBIDO SAN GIACOMO,2024,6709,1153,54999.61,0.0,6326873.3,8.197884930690117,47.70130962705984,0.8693015869307831,False,False
015248,villa cortese,COMUNE DI VILLA CORTESE,2024,6225,900,0.0,0.0,4265335.33,0.0,0.0,0.0,True,False
015249,vanzaghello,COMUNE DI VANZAGHELLO,2024,5358,834,0.0,0.0,3891644.89,0.0,0.0,0.0,True,False
015250,baranzate,COMUNE DI BARANZATE,2024,11803,1933,23386.03,0.0,9194013.7,1.981363212742523,12.098308329022245,0.25436148741000897,False,False
015251,vermezzo con zelo,COMUNE DI VERMEZZO CON ZELO,2024,5910,915,0.0,0.0,3962783.93,0.0,0.0,0.0,True,False
016001,adrara san martino,COMUNE DI ADRARA SAN MARTINO,2024,2161,390,2474.0,0.0,1556420.65,1.1448403516890329,6.343589743589743,0.15895445745981335,False,False
016002,adrara san rocco,COMUNE DI ADRARA SAN ROCCO,2024,807,119,6141.7,0.0,594510.86,7.610532837670384,51.6109243697479,1.0330677559027266,False,False
016003,albano sant alessandro,COMUNE DI ALBANO SANT'ALESSANDRO,2024,8247,1389,0.0,0.0,4881627.59,0.0,0.0,0.0,True,False
016004,albino,COMUNE DI ALBINO,2024,17492,2807,20514.8,0.0,15872982.86,1.1728104276240567,7.308443177769861,0.12924350880323449,False,False
