entity,year,variable,source_type,source_url,retrieved_at,status,notes
Lombardia - Comuni,2024,rendiconto armonizzato; M06-P02 e spesa corrente,OpenBDAP/RGS,https://openbdap.rgs.mef.gov.it/Datasets_FET/rendiconto/2024/2024_Rendiconto%20-%20Schemi%20di%20bilancio_LOMBARDIA.zip,2026-09-12T15:30:36+00:00,acquisito,File ufficiale usato dalla pipeline
Comuni italiani,2024,popolazione residente totale e 15-29 anni,Istat POSAS,https://demo.istat.it/data/posas/POSAS_2024_it_Comuni.zip,2026-09-12T15:30:36+00:00,acquisito,Popolazione al 1 gennaio 2024
